rounded_latitude,rounded_longitude,avg_nic
35.697394,-13.012119,0
35.701851,-11.688778,8.006983
35.700595,-10.190052,2.138264
35.696843,-9.590945,5.734269
35.690247,-8.398363,5.609469
35.707986,-8.201630,5.869743
35.699801,-8.112539,4.153418
35.706696,-6.492054,8.140163
35.699154,-6.389893,8.150491
35.693125,-6.295615,7.844098
35.699664,-5.789111,7.917106
35.707350,-5.708080,7.816269
35.693783,-5.293546,7.755898
35.692754,-5.191457,8.071865
35.697392,-5.089074,4.694112
35.698059,-5.009625,6.497619
35.707978,-0.594452,8.109693
35.709760,-0.501451,4.916944
35.693838,6.608063,8.094412
35.693479,11.709657,0.908948
35.709857,14.400118,5.892099
35.692602,14.495912,4.228069
35.694434,14.592609,7.773586
35.695831,14.708432,6.572321
35.695461,14.791189,7.948106
35.691436,14.897387,2.630276
35.691995,14.994239,5.545451
35.691100,15.100794,4.548647
35.707322,15.197082,2.80549
35.698943,15.310841,5.17629
35.700615,15.387456,6.019998
35.706912,15.493465,5.1554
35.697518,15.589681,3.974913
35.704107,15.688741,6.409511
35.709849,15.800062,8.206912
35.693275,17.394337,0.1884
35.708579,17.494554,0.749326
35.705659,17.593337,2.08924
35.697401,17.709902,4.195649
35.692842,17.808554,0.101257
35.704912,17.909821,1.046918
35.694351,22.090691,0.154023
35.690789,22.205636,5.901238
35.704938,22.308036,6.988508
35.693695,23.994108,4.403457
35.702488,24.109775,0.112398
35.690378,24.998811,1.351904
35.697131,25.512102,4.022649
35.691666,25.603696,2.851899
35.705251,26.007176,4.144369
35.692552,26.495833,0.462432
35.693787,26.592688,1.286198
35.709720,27.302996,5.233809
35.709124,27.405250,5.096277
35.696743,27.509912,0.156545
35.690808,28.198660,5.918351
35.692964,28.306679,7.056094
35.707606,28.407746,0.091083
35.691862,28.706066,8.251211
35.698514,28.809549,7.106313
35.694803,30.009665,6.207871
35.695763,30.110462,5.573783
35.699962,30.188436,5.406535
35.690993,31.104162,4.307281
35.696892,31.191051,8.049669
35.702990,31.889637,5.06933
35.690716,43.904303,7.781345
35.692131,44.092830,0
35.803415,-20.910567,0.241993
35.805242,-20.809855,8.069291
35.807838,-20.698710,8.171837
35.792721,-20.608477,6.796015
35.808729,-20.495280,0
35.792532,-13.007921,0
35.796711,-12.911714,0
35.803019,-11.590465,7.992333
35.807087,-10.190878,4.53764
35.792410,-10.105207,4.95741
35.806129,-9.605660,6.319764
35.808387,-9.507200,7.916539
35.796157,-8.409833,6.904514
35.805709,-8.106616,5.239971
35.809009,-6.404102,5.739699
35.806606,-6.308355,8.09974
35.807667,-6.197304,6.170657
35.796722,-5.690155,7.85364
