,h3,icao_address_x,icao_address_y,percent,fill_color,line_fill_color
292,8406491ffffffff,1,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
293,8406495ffffffff,103,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
294,8406497ffffffff,6,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
295,840649dffffffff,119,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
296,84064a3ffffffff,28,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
297,84064a9ffffffff,106,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
298,84064abffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
299,84064b1ffffffff,121,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
300,84064b5ffffffff,41,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
301,84064b9ffffffff,48,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
302,84064bbffffffff,47,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
303,84064c1ffffffff,24,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
304,84064c9ffffffff,65,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
305,84064cbffffffff,52,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
306,84064d1ffffffff,18,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
307,84064d7ffffffff,133,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
308,84064e3ffffffff,68,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
309,840650dffffffff,24,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
310,8406513ffffffff,119,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
311,840651bffffffff,87,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
312,8406521ffffffff,82,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
313,8406525ffffffff,83,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
314,8406529ffffffff,46,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
315,840652dffffffff,41,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
316,8406535ffffffff,14,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
